discount,discounted_price,name,original_price,product_id,product_info,product_url,total_reviews
42,28.99,Sword Flowers Print Front Pocket Casual Hoodie,41.166,8336518,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;FabricStretch:SlightStretch;Thickness:Regular;Patterns:Floral;Season:Fall,Spring;Weight:0.5500kg;PackageContents:1xHoodie",https://www.dresslily.com/sword-flowers-print-front-pocket-product8336518.html,
49,24.99,Halloween Ghost Spotty Front Pocket Drawstring Hoodie,37.235,8336511,";ClothesType:Hoodie;Occasion:Halloween;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Dots,Ghost;Season:Fall,Spring;Weight:0.5200kg;PackageContents:1xHoodie",https://www.dresslily.com/halloween-ghost-spotty-front-pocket-product8336511.html,2
47,28.99,Halloween Night Pumpkin Pattern Front Pocket Pullover Hoodie,42.615,8337072,";ClothesType:Hoodie;Occasion:Halloween;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Moon,Pumpkin;Season:Fall,Spring;Weight:0.5200kg;PackageContents:1xHoodie",https://www.dresslily.com/halloween-night-pumpkin-pattern-front-product8337072.html,
50,24.99,Halloween Ghost Face Graphic Pullover Drawstring Hoodie,37.485,8337109,";ClothesType:Hoodie;Occasion:Halloween;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Face;Season:Fall,Spring;Weight:0.5200kg;PackageContents:1xHoodie",https://www.dresslily.com/halloween-ghost-face-graphic-pullover-product8337109.html,
41,28.99,Halloween Moon Night Pattern Front Pocket Drawstring Hoodie,40.876,8337604,";ClothesType:Hoodie;Occasion:Halloween;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Animal,Moon,Pumpkin;Season:Fall,Spring;Weight:0.5300kg;PackageContents:1xHoodie",https://www.dresslily.com/halloween-moon-night-pattern-front-product8337604.html,1
42,28.99,Halloween Skull Ghost Print Front Pocket Pullover Hoodie,41.166,8337611,";ClothesType:Hoodie;Occasion:Halloween;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Ghost,Letter,Skull,Star;Season:Fall,Spring;Weight:0.5300kg;PackageContents:1xHoodie",https://www.dresslily.com/halloween-skull-ghost-print-front-product8337611.html,2
36,28.99,Halloween Pumpkin Spider Web Print Front Pocket Drawstring Hoodie,39.426,8338222,";ClothesType:Hoodie;Occasion:Halloween;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Spandex;Thickness:Regular;Patterns:Pumpkin;Season:Fall,Spring;Weight:0.5200kg;PackageContents:1xHoodie",https://www.dresslily.com/halloween-pumpkin-spider-web-print-product8338222.html,
42,28.99,Ancient Egypt Pharaohs Print Kangaroo Pocket Hoodie,41.166,8338230,";ClothesType:Hoodie;Occasion:Daily;Style:Trendy;FitType:Regular;SleeveLength:Full;Material:Polyester,Polyurethane;FabricStretch:NoStretch;Thickness:Regular;Patterns:Others;Season:Fall,Spring;Weight:0.5550kg;PackageContents:1xHoodie",https://www.dresslily.com/ancient-egypt-pharaohs-print-kangaroo-product8338230.html,
45,28.99,Kangaroo Pocket Blood Soldiers Print Pullover Hoodie,42.035,8338236,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;SleeveLength:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Others;Season:Fall,Spring;Weight:0.5700kg;PackageContents:1xHoodie",https://www.dresslily.com/kangaroo-pocket-blood-soldiers-print-product8338236.html,
43,24.99,ET Constellation Print Kangaroo Pocket Hoodie,35.736,8338238,";ClothesType:Hoodie;Occasion:Daily;Style:Casual;FitType:Regular;ShirtLength:Regular;SleeveLength:Full;Material:Polyester,Polyurethane;FabricStretch:SlightStretch;Thickness:Regular;Patterns:Print;Season:Fall,Spring,Winter;Weight:0.4200kg;PackageContents:1xHoodie",https://www.dresslily.com/et-constellation-print-kangaroo-pocket-product8338238.html,
